Source: https://drive.google.com/uc?export=download&id=1TiSYurF2yw3wkt0mCc5zenBscBGlIKPj

---

﻿,,,,,,,,,,,,,,,,
,,Process,Wood, WWTS ,Forklift operations,Operations in plant,Refrigeration & A/C,Refrigeration & A/C,Refrigeration & A/C,CO2 cylinder / tanks,,,,,,
,,Unit,ton, cubic metres ,ton,litres,kg,kg,kg,kg,kg,kWh,,,,
,,,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1, RCN- đầu vào sản xuất , Output- đầu ra sản xuất ,,
MIX,Plant,Date,Firewood, Waste Water ,LPG,Diesel,R134A,R410A,R404A,Co2 @ Packing,Co2 @ PCCC,Electricity , Production (MTs) , CK ,,
01-21PhanThiet,PhanThiet,Jan/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
02-21PhanThiet,PhanThiet,Feb/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
03-21PhanThiet,PhanThiet,Mar/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
04-21PhanThiet,PhanThiet,Apr/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
05-21PhanThiet,PhanThiet,May/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
06-21PhanThiet,PhanThiet,Jun/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
07-21PhanThiet,PhanThiet,Jul/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
08-21PhanThiet,PhanThiet,Aug/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
09-21PhanThiet,PhanThiet,Sep/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
10-21PhanThiet,PhanThiet,Oct/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
11-21PhanThiet,PhanThiet,Nov/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,141 "," 294,432 ",,
12-21PhanThiet,PhanThiet,Dec/21,133.50,868.33,0.44,51.67,,1.63,,,,262852.67," 1,408 "," 361,155 ",,
01-22PhanThiet,PhanThiet,Jan/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
02-22PhanThiet,PhanThiet,Feb/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
03-22PhanThiet,PhanThiet,Mar/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
04-22PhanThiet,PhanThiet,Apr/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
05-22PhanThiet,PhanThiet,May/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
06-22PhanThiet,PhanThiet,Jun/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
07-22PhanThiet,PhanThiet,Jul/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
08-22PhanThiet,PhanThiet,Aug/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
09-22PhanThiet,PhanThiet,Sep/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
10-22PhanThiet,PhanThiet,Oct/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
11-22PhanThiet,PhanThiet,Nov/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
12-22PhanThiet,PhanThiet,Dec/22,140.35,857.50,0.69,142.75,,1.38,,320.00,,330768.67," 1,408 "," 361,155 ",,
01-23PhanThiet,PhanThiet,Jan/23,76.38,118.40,0.43,100.00,0.00,0.00,0.00,0.00,0.00,222853.00, 843 ," 212,895 ",,
02-23PhanThiet,PhanThiet,Feb/23,152.72,836.00,0.72,100.00,0.00,0.00,0.00,0.00,0.00,340408.00," 1,502 "," 394,932 ",,
03-23PhanThiet,PhanThiet,Mar/23,130.00,1088.80,0.72,100.00,0.00,0.00,0.00,0.00,0.00,412900.00," 1,730 "," 520,827 ",,
04-23PhanThiet,PhanThiet,Apr/23,120.32,983.20,0.61,129.00,0.00,0.00,0.00,0.00,0.00,351439.00," 1,424 "," 421,327 ",,
05-23PhanThiet,PhanThiet,May/23,131.16,703.20,0.58,100.00,0.00,0.00,0.00,0.00,0.00,320197.00," 1,679 "," 374,387 ",,
06-23PhanThiet,PhanThiet,Jun/23,141.65,768.80,0.68,100.00,0.00,0.00,0.00,0.00,0.00,402818.00," 1,714 "," 467,430 ",,
07-23PhanThiet,PhanThiet,Jul/23,146.84,1011.20,0.72,110.00,0.00,0.00,0.00,0.00,0.00,373888.00," 1,704 "," 422,674 ",,
08-23PhanThiet,PhanThiet,Aug/23,150.47,934.40,0.65,100.00,0.00,0.00,0.00,0.00,0.00,391032.00," 1,730 "," 468,310 ",,
09-23PhanThiet,PhanThiet,Sep/23,146.01,756.80,0.50,100.00,0.00,0.00,0.00,0.00,0.00,333035.00," 1,621 "," 371,602 ",,
10-23PhanThiet,PhanThiet,Oct/23,119.59,789.60,0.58,100.00,0.00,0.00,0.00,0.00,0.00,378072.00," 1,600 "," 364,147 ",,
11-23PhanThiet,PhanThiet,Nov/23,83.58,1019.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,253627.00, 811 ," 256,199 ",,
12-23PhanThiet,PhanThiet,Dec/23,82.64,663.00,0.22,100.00,0.00,0.00,0.00,0.00,0.00,146341.00, 501 ," 107,334 ",,
01-24PhanThiet,PhanThiet,Jan/24,56.09,775.00,0.22,100.00,0.00,0.00,0.00,0.00,0.00,134311.00, 501 ," 125,185 ",,

02-24PhanThiet,PhanThiet,Feb/24,24.00,666.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,102381.00, 440 ," 96,667 ",,
03-24PhanThiet,PhanThiet,Mar/24,36.54,770.00,0.25,100.00,0.00,0.00,0.00,0.00,0.00,155019.00, 552 ," 169,497 ",,
04-24PhanThiet,PhanThiet,Apr/24,146.63,810.40,0.47,91.67,0.00,0.00,0.00,0.00,0.00,262778.00," 1,381 "," 358,933 ",,
05-24PhanThiet,PhanThiet,May/24,121.36,676.00,0.50,100.00,0.00,0.00,0.00,0.00,0.00,285757.00," 1,430 "," 391,710 ",,
06-24PhanThiet,PhanThiet,Jun/24,114.40,843.20,0.47,100.00,0.00,0.00,0.00,0.00,0.00,277600.00," 1,365 "," 357,133 ",,
07-24PhanThiet,PhanThiet,Jul/24,120.37,750.00,0.50,100.00,0.00,0.00,0.00,0.00,0.00,299833.00," 1,430 "," 368,794 ",,
08-24PhanThiet,PhanThiet,Aug/24,118.96,791.00,0.52,100.00,0.00,0.00,0.00,0.00,0.00,294975.00," 1,430 "," 367,033 ",,
09-24PhanThiet,PhanThiet,Sep/24,130.01,684.80,0.58,0.00,0.00,0.00,0.00,0.00,0.00,302341.00," 1,366 "," 331,194 ",,
10-24PhanThiet,PhanThiet,Oct/24,136.53,756.00,0.52,100.00,0.00,0.00,0.00,0.00,0.00,312947.00," 1,416 "," 309,693 ",,
11-24PhanThiet,PhanThiet,Nov/24,136.56,756.80,0.00,99.00,0.00,0.00,0.00,0.00,0.00,318293.00," 1,616 "," 356,957 ",,
12-24PhanThiet,PhanThiet,Dec/24,103.18,723.20,0.00,100.00,0.00,0.00,0.00,0.00,0.00,307347.00," 1,335 "," 463,912 ",,
01-25PhanThiet,PhanThiet,Jan/25,178.29,789.60,0.00,100.00,0.00,0.00,0.00,0.00,0.00,185926.00, 840 ," 229,393 ",,
02-25PhanThiet,PhanThiet,Feb/25,91.35,667.20,0.00,100.00,0.00,0.00,0.00,0.00,0.00,258409.00," 1,281 "," 358,006 ",,
03-25PhanThiet,PhanThiet,Mar/25,127.19,848.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,288272.00," 1,535 "," 423,621 ",,
04-25PhanThiet,PhanThiet,Apr/25,117.99,908.80,0.00,100.00,0.00,0.00,0.00,0.00,0.00,315278.00," 1,601 "," 399,801 ",,
05-25PhanThiet,PhanThiet,May/25,128.98,862.40,0.00,100.00,0.00,0.00,0.00,0.00,0.00,362491.00," 1,557 "," 429,113 ",,
06-25PhanThiet,PhanThiet,Jun/25,155.40,1097.60,0.00,99.50,0.00,0.00,0.00,0.00,0.00,360835.00," 1,601 "," 381,344 ",,
07-25PhanThiet,PhanThiet,Jul/25,129.93,956.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,347697.00," 1,316 "," 277,084 ",,
08-25PhanThiet,PhanThiet,Aug/25,150.85,973.60,0.00,99.50,0.00,0.00,0.00,0.00,0.00,375751.00," 1,380 "," 333,574 ",,50512.7
09-25PhanThiet,PhanThiet,Sep/25,150.85,922.40,0.00,105.21,0.00,0.00,0.00,0.00,0.00,342320.00," 1,411 "," 299,704 ",,
